Id,SalePrice
1461,122281.20045688025
1462,154597.3504869851
1463,187479.9654484107
1464,190163.9806758499
1465,201859.62906147685
1466,186910.73201823942
1467,183524.79108100617
1468,173476.4547425035
1469,180034.94819928994
1470,119723.59402082437
1471,194600.01523874153
1472,88505.25415599206
1473,97246.69151527493
1474,151080.98250232585
1475,122352.77869825679
1476,389829.91412181256
1477,258170.7651207627
1478,280296.963633065
1479,259487.8669116364
1480,501934.8280162666
1481,294174.00193263905
1482,195067.61535031578
1483,168804.60039921568
1484,162896.3175423557
1485,169160.53438376417
1486,193643.30591077197
1487,316913.88545289414
1488,216452.96794825935
1489,207129.98804121237
1490,238111.60325666875
1491,189086.34112057206
1492,90851.09394933727
1493,194297.4563584294
1494,272131.8196789531
1495,269662.3997050912
1496,229734.96191359425
1497,176507.4989061012
1498,157772.01784795037
1499,153258.6189832654
1500,154067.22476165384
1501,171443.55653562018
1502,154405.40359965962
1503,321742.0328320554
1504,228226.43021344574
1505,213686.94625524958
1506,176079.11159206147
1507,236640.50335313505
1508,199685.9986093718
1509,167739.2633205299
1510,162454.48512238255
1511,149327.59328497798
1512,170037.04652514664
1513,154057.03908782094
1514,169939.67944979697
1515,197156.42351165664
1516,147729.0600792564
1517,166997.4250516675
1518,129886.49529170974
1519,219665.58751264436
1520,139501.5286616738
1521,140339.9307865993
1522,170359.6206767033
1523,114152.61695462019
1524,124021.56181104587
1525,128290.94169658251
1526,121897.57286849926
1527,102801.44674453569
1528,135851.70971633133
1529,155485.2216606755
1530,177385.3596772029
1531,116346.08178995216
1532,101754.01678346015
1533,139114.4668684075
1534,124941.93036580425
1535,154296.2158201202
1536,113145.01012833907
1537,74098.29849941218
1538,170494.89785432958
1539,228669.6485407392
1540,92689.43098738305
1541,144261.49418626298
1542,146499.59537584573
1543,199869.82195057216
1544,78797.22066985848
1545,113326.51723389326
1546,133952.65670170164
1547,137172.2884779058
1548,134854.84688193197
1549,119092.87854897058
1550,145235.63787774934
1551,104274.85478672868
1552,146522.62183976002
1553,161660.5729134458
1554,109501.97035286509
1555,166153.16664671677
1556,83188.58856189346
1557,104303.10534525641
1558,99628.28777900405
1559,101791.32640048618
1560,141884.0642986339
1561,111778.84667160019
1562,124449.36374138798
1563,123546.99552000302
1564,162672.56017949936
1565,146538.1280485561
1566,244676.86368187776
1567,75778.30477342247
1568,233245.2864870103
1569,146376.8242036119
1570,137036.53866696314
1571,119622.79866987055
1572,153458.39610868756
1573,266706.9730843774
1574,108862.32367609552
1575,195149.3375444546
1576,214195.40731007393
1577,203205.24108308577
1578,147971.72900318107
1579,137690.65903189738
1580,194027.10912663382
1581,147596.50373399936
1582,129580.51255420367
1583,308985.0726057056
1584,237562.990371995
1585,144092.38212678005
1586,83584.44007198163
1587,106889.05812226048
1588,158273.39282824766
1589,103651.93299617748
1590,141197.28003844697
1591,99071.36458458597
1592,98086.4135697476
1593,133221.20851955973
1594,149078.93439430304
1595,116572.61216716206
1596,225178.51810000496
1597,170114.56074060747
1598,192030.58273217618
1599,197491.62682346752
1600,186653.05454675393
1601,74097.53362147388
1602,125152.04772175012
1603,104011.75093592076
1604,295206.0335935391
1605,226252.73444914917
1606,171461.4926593543
1607,182787.2131990952
1608,207787.24562412634
1609,193580.40195692616
1610,167465.33652634104
1611,119538.73472923863
1612,167566.8571553012
1613,165077.09611193743
1614,116242.4075751626
1615,82977.81748172163
1616,72676.27491044479
1617,88965.31793630976
1618,128351.72625297228
