Id,SalePrice
1461,128559.12
1462,157214.62
1463,184169.67
1464,187224.89
1465,204393.3
1466,182562.78
1467,178757.81
1468,169190.78
1469,180305.17
1470,116570.83
1471,192846.83
1472,94403.17
1473,99068.23
1474,149768.52
1475,126838.68
1476,386551.3
1477,250041.67
1478,294279.16
1479,272870.47
1480,432340.2
1481,300480.06
1482,197735.11
1483,168247.66
1484,170025.08
1485,179580.05
1486,199081.61
1487,361098.62
1488,231058.03
1489,214400.4
1490,223111.97
1491,189299.81
1492,91185.49
1493,179725.1
1494,293061.8
1495,283759.88
1496,232049.58
1497,181409.47
1498,158664.42
1499,157851.27
1500,162822.62
1501,170194.84
1502,154536.84
1503,297795.72
1504,240258.52
1505,225771.36
1506,186553.97
1507,254761.4
1508,196674.5
1509,167923.88
1510,150002.67
1511,144962.2
1512,168167.25
1513,146367.69
1514,170241.64
1515,195535.1
1516,155101.2
1517,160056.53
1518,124243.375
1519,229051.52
1520,137529.0
1521,139028.95
1522,177544.53
1523,109600.75
1524,119026.734
1525,125645.48
1526,117581.37
1527,110642.7
1528,133454.83
1529,153687.36
1530,174166.47
1531,129563.02
1532,99405.77
1533,147457.23
1534,113549.98
1535,155504.92
1536,119414.78
1537,88145.96
1538,164390.94
1539,208228.39
1540,101906.86
1541,134569.77
1542,141823.58
1543,193598.61
1544,86078.08
1545,110373.38
1546,133238.06
1547,132683.31
1548,133542.19
1549,117570.234
1550,146955.6
1551,108943.27
1552,147356.83
1553,150006.27
1554,114892.266
1555,174908.69
1556,85526.164
1557,101222.336
1558,99451.7
1559,104572.04
1560,139801.06
1561,155819.17
1562,124992.195
1563,123534.21
1564,162521.02
1565,153096.83
1566,226206.58
1567,80869.21
1568,234312.9
1569,142417.8
1570,139133.28
1571,123498.836
1572,144527.25
1573,246137.34
1574,113008.41
1575,219047.47
1576,243548.94
1577,197298.19
1578,157361.52
1579,142146.16
1580,190847.98
1581,143158.03
1582,132849.08
1583,313336.44
1584,247097.6
1585,144381.78
1586,84400.38
1587,99763.945
1588,153968.83
1589,102375.24
1590,134721.83
1591,91199.12
1592,122049.17
1593,135531.11
1594,144252.52
1595,125374.2
1596,232427.23
1597,173719.52
1598,196286.86
1599,185093.73
1600,176297.47
1601,76547.05
1602,121144.71
1603,107479.7
1604,293590.47
1605,257525.39
1606,170826.5
1607,164445.88
1608,210253.4
1609,187501.25
1610,167742.86
1611,140627.89
1612,166282.95
1613,164409.44
1614,119498.09
1615,83655.195
1616,69673.67
1617,90468.05
1618,127364.82
1619,138751.89
1620,154377.6
1621,145429.92
1622,140110.42
1623,278941.88
1624,224754.19
1625,122875.15
1626,166364.7
1627,192569.86
1628,286277.4
1629,181781.89
1630,343809.53
1631,219396.5
1632,226688.86
1633,172789.56
1634,181260.39
1635,184077.62
1636,164417.11
1637,192196.45
1638,199752.0
1639,182211.25
